Old Name	Old ID	Canonical Name	Canonical ID
100m	691e09d505760e6fe3245099	100 Metres	691f289a5f9c4f4ff0340888
200m	691e09d505760e6fe324509a	200 Metres	691f289a5f9c4f4ff034088c
400m	691e09d505760e6fe324509b	400 Metres	691f289a5f9c4f4ff0340890
800m	691e09d505760e6fe324509c	800 Metres	691f289a5f9c4f4ff0340894
1500m	691e09d505760e6fe324509d	1500 Metres	691f289a5f9c4f4ff0340898
110m Hurdles	691e09d505760e6fe324509e	110 Metres Hurdles	691f289a5f9c4f4ff03408c2
4x100m Relay	691e09d505760e6fe32450a5	4 × 100 Metres Relay	691f289a5f9c4f4ff03408b0
4x400m Relay	691e09d505760e6fe32450a6	4 × 400 Metres Relay	691f289a5f9c4f4ff03408b4
100m	691e09d505760e6fe32450a7	100 Metres	691f289a5f9c4f4ff034088a
200m	691e09d505760e6fe32450a8	200 Metres	691f289a5f9c4f4ff034088e
400m	691e09d505760e6fe32450a9	400 Metres	691f289a5f9c4f4ff0340892
800m	691e09d505760e6fe32450aa	800 Metres	691f289a5f9c4f4ff0340896
1500m	691e09d505760e6fe32450ab	1500 Metres	691f289a5f9c4f4ff034089a
100m Hurdles	691e09d505760e6fe32450ac	100 Metres Hurdles	691f289a5f9c4f4ff03408c0
4x100m Relay	691e09d505760e6fe32450b3	4 × 100 Metres Relay	691f289a5f9c4f4ff03408b2
4x400m Relay	691e09d505760e6fe32450b4	4 × 400 Metres Relay	691f289a5f9c4f4ff03408b6
4x400m Mixed Relay	691e09d505760e6fe32450b5	4 × 400 Metres Mixed Relay	691f289a5f9c4f4ff03408ba
5000m	691f27f1759d27aa1ae9d725	5000 Metres	691f289a5f9c4f4ff034089c
5000m	691f27f1759d27aa1ae9d728	5000 Metres	691f289a5f9c4f4ff034089e
3000m Steeplechase	691f27f1759d27aa1ae9d72b	3000 Metres Steeple Chase	691f289a5f9c4f4ff03408ac
3000m Steeplechase	691f27f1759d27aa1ae9d72e	3000 Metres Steeple Chase	691f289a5f9c4f4ff03408ae